"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"augustus_masked-NW_019167827.1-processed-gene-203.5-mRNA-1:1",82371.5313697597,-8.96667002847903,1.24984441140454,-7.17422900535481,7.27158040246237e-13,2.97116775244613e-09
"augustus_masked-NW_019167827.1-processed-gene-203.3-mRNA-1:2",123212.236868717,-8.87130067180207,1.418262297637,-6.25504935623174,3.97390214383932e-10,8.11868207986373e-07
"augustus_masked-NW_019167827.1-processed-gene-21.5-mRNA-1:1",2342.53956127633,-9.79964724876684,1.81736701513035,-5.39222246644769,6.95915340804504e-08,9.47836694175734e-05
"augustus_masked-NW_019167827.1-processed-gene-64.3-mRNA-1:1",6743.0795089074,-9.77840855971918,1.84146210665007,-5.31013292340168,1.0954530990983e-07,0.000111900534072891
"augustus_masked-NW_019167827.1-processed-gene-204.1-mRNA-1:1",233631.630685705,-7.79472900289524,1.55581106913498,-5.01007426771236,5.44090343663809e-07,0.000348817230787656
"augustus_masked-NW_019167827.1-processed-gene-203.3-mRNA-1:1",87624.6153360241,-8.11240785185136,1.62017186190367,-5.0071279736456,5.52481962549903e-07,0.000348817230787656
"augustus_masked-NW_019167827.1-processed-gene-30.3-mRNA-1:3",4441.94247763011,-8.96792560780857,1.7964605713819,-4.99199690250374,5.97582137913263e-07,0.000348817230787656
"augustus_masked-NW_019167827.1-processed-gene-11.1-mRNA-1:3",1183.06011493523,-6.3599663065758,1.31367079185399,-4.84136995814602,1.28947048584268e-06,0.000658597050644149
"augustus_masked-NW_019167827.1-processed-gene-51.1-mRNA-1:4",339.534675802685,-8.51619976569082,1.85938896844527,-4.58010664267393,4.64738903081734e-06,0.00196962365252907
"augustus_masked-NW_019167827.1-processed-gene-57.6-mRNA-1:3",135.913044579722,-5.5615512664886,1.21631615060234,-4.57245533057701,4.82042009919008e-06,0.00196962365252907
"augustus_masked-NW_019167827.1-processed-gene-80.1-mRNA-1:2",1466.16616709406,-7.70184544276765,1.712350612982,-4.49782035546748,6.86536677529806e-06,0.00255017169489708
"augustus_masked-NW_019167827.1-processed-gene-223.0-mRNA-1:8",163.697237763311,-5.74658895048816,1.29273059982689,-4.44531053203018,8.77650010864324e-06,0.00298839828699302
"augustus_masked-NW_019167827.1-processed-gene-30.8-mRNA-1:1",418.335455408502,-8.36438235435243,1.89302350316208,-4.41853064179114,9.93741929652897e-06,0.00312340732658595
"augustus_masked-NW_019167827.1-processed-gene-227.12-mRNA-1:1",257.241726829143,-5.21307375365543,1.18464364847479,-4.4005416821904,1.07980982080771e-05,0.00315150209130022
"augustus_masked-NW_019167827.1-processed-gene-222.10-mRNA-1:5",471.931664539906,-3.714490176903,0.854190984957784,-4.34854762262163,1.37042062749588e-05,0.00373302578929878
"augustus_masked-NW_019167827.1-processed-gene-87.1-mRNA-1:5",255.231322934247,-4.97640442246675,1.1508670557788,-4.32404802751018,1.53191923077017e-05,0.0038657560477962
"augustus_masked-NW_019167827.1-processed-gene-202.0-mRNA-1:5",424.719403142307,-8.22490749404332,1.91065398342464,-4.30476034143088,1.67166603628364e-05,0.0038657560477962
"augustus_masked-NW_019167827.1-processed-gene-157.11-mRNA-1:1",324.818893475449,-8.17726168847462,1.90140121242061,-4.30065029676951,1.70297623250934e-05,0.0038657560477962
"augustus_masked-NW_019167827.1-processed-gene-6.11-mRNA-1:14",298.438110774258,-8.10294747936248,1.90568723555019,-4.25198181957864,2.11887065205288e-05,0.00409252933334669
"augustus_masked-NW_019167827.1-processed-gene-30.3-mRNA-1:2",688.414039634577,-8.2068481912502,1.93221962712945,-4.2473681956344,2.16296334432404e-05,0.00409252933334669
"augustus_masked-NW_019167827.1-processed-gene-226.11-mRNA-1:2",312.500450402251,-8.10081437560348,1.90884312411283,-4.24383453688396,2.19732396967628e-05,0.00409252933334669
"augustus_masked-NW_019167827.1-processed-gene-64.0-mRNA-1:2",310.269983084766,-8.08735017889569,1.9101366947985,-4.23391174093372,2.29661107543668e-05,0.00409252933334669
"augustus_masked-NW_019167827.1-processed-gene-71.9-mRNA-1:1",490.404176017259,-8.15191836552682,1.92570093375834,-4.23322138065175,2.30367534671987e-05,0.00409252933334669
"augustus_masked-NW_019167827.1-processed-gene-9.0-mRNA-1:1",194.179012000243,-7.95344534865825,1.89493443899831,-4.1972139958903,2.70218579006596e-05,0.0046004713075873
"augustus_masked-NW_019167827.1-processed-gene-54.6-mRNA-1:1",268.80623354828,-8.00012515340333,1.91247704023842,-4.1831221944531,2.87532742230035e-05,0.00469943513900769
"augustus_masked-NW_019167827.1-processed-gene-21.2-mRNA-1:3",172.38299012666,-6.35584712316992,1.56245995595311,-4.06784641036949,4.74496385477202e-05,0.00745689319638403
"augustus_masked-NW_019167827.1-processed-gene-21.14-mRNA-1:1",279.533127716985,-7.7991688326154,1.94068852185921,-4.01876382776958,5.85042758724074e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-10.4-mRNA-1:3",204.950666177039,-7.74188156780578,1.92934743126871,-4.01269436615407,6.00296152969605e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-5.10-mRNA-1:14",83.9712221097992,3.95474917215425,0.993874721680237,3.9791224043493,6.91701237190739e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-214.7-mRNA-1:3",565.992087300237,-6.71793015240204,1.68893383178993,-3.97761595271165,6.96096805090088e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-208.10-mRNA-1:1",1231.06719796813,-6.47936029849112,1.63104532573177,-3.97252007425616,7.11162408796424e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-5.8-mRNA-1:1",121.46754561691,-7.58665997949148,1.90994035994435,-3.97219732018886,7.12126921405499e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-21.12-mRNA-1:1",815.39820566513,-7.83749663979097,1.97323711290865,-3.97189804941287,7.13022362498485e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-6.11-mRNA-1:6",249.291536457606,-7.71301338095351,1.94531653829224,-3.96491431041071,7.3422317768181e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-146.51-mRNA-1:1",2139.46838697758,-5.94630317483895,1.50383570670383,-3.95409096108796,7.68261801468245e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-215.2-mRNA-1:1",439.037662732632,-5.20443023031635,1.31731401669036,-3.95078938231604,7.78938511906228e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-234.7-mRNA-1:1",305.11016618406,-7.71647280641729,1.95520538908316,-3.94663028728441,7.92588004757131e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-24.2-mRNA-1:5",202.545564065659,-7.65390045946873,1.94062524054826,-3.94403839522687,8.01208216921844e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-226.11-mRNA-1:3",197.170996917978,-7.64914007848387,1.93952037286418,-3.9438307457364,8.01902646399965e-05,0.00840014236096432
