gene	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KO	BiGG_Reactions	Annotation_tax_scope	Matching_Ogs	best_OG|evalue|score	COG_functional_categories	eggNOG_HMM_model_annotation
augustus_masked-NW_019167827.1-processed-gene-0.1-mRNA-1	3847.GLYMA05G36100.1	7.5e-159	520.0	MIOX2	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006949,GO:0008150,GO:0008152,GO:0009653,GO:0009987,GO:0016491,GO:0016701,GO:0032502,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044767,GO:0048646,GO:0048856,GO:0050113,GO:0055114	K00469		virNOG[6]	0XQ4J@NOG,1BC3I@strNOG,1DQ26@virNOG,KOG1573@euNOG	1DQ26|1.1e-177|594.0	S	inositol oxygenase
augustus_masked-NW_019167827.1-processed-gene-0.0-mRNA-1	29760.VIT_02s0012g01450.t01	3.2e-138	450.6	OSI_17190	GO:0001071,GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:2000112,GO:2001141			virNOG[6]	0IHPG@euNOG,0YG89@NOG,1BQAZ@strNOG,1E25B@virNOG	1E25B|3.4e-131|438.4	K	transcription factor
augustus_masked-NW_019167827.1-processed-gene-0.2-mRNA-1	29760.VIT_02s0012g01390.t01	4.9e-74	239.2		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	0IZXF@euNOG,0YUVB@NOG,1BSWJ@strNOG,1E4RV@virNOG	1E4RV|4.4e-73|246.7	S	NA
augustus_masked-NW_019167827.1-processed-gene-0.5-mRNA-1	29760.VIT_02s0012g01340.t01	3.4e-142	465.4	UBP21		K11855		virNOG[6]	0XQ92@NOG,1BGGW@strNOG,1DUEB@virNOG,KOG1865@euNOG	1DUEB|1.2e-167|560.7	O	ubiquitin carboxyl-terminal hydrolase
augustus_masked-NW_019167827.1-processed-gene-0.6-mRNA-1	29760.VIT_02s0012g01330.t01	4.8e-78	253.6	AGD8	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0009719,GO:0009725,GO:0009737,GO:0010033,GO:0033993,GO:0042221,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0097305,GO:1901700	K12493		virNOG[6]	1BFFH@strNOG,1DTDQ@virNOG,COG5347@NOG,KOG0706@euNOG	1DTDQ|3.7e-71|241.6	T	ADP-ribosylation factor GTPase-activating protein
augustus_masked-NW_019167827.1-processed-gene-0.4-mRNA-1	3694.POPTR_0014s14360.1	2.7e-50	158.2					virNOG[6]	0JPH0@euNOG,0ZGZF@NOG,1C5SY@strNOG,1EJJT@virNOG	1EJJT|1.4e-32|114.2	S	NA
augustus_masked-NW_019167827.1-processed-gene-0.3-mRNA-1	3694.POPTR_0001s02390.1	4.5e-103	335.4					virNOG[6]	0IFY5@euNOG,0YD1C@NOG,1BF2T@strNOG,1DUJ4@virNOG	1DUJ4|5.1e-93|313.2	S	zinc-binding protein
augustus_masked-NW_019167827.1-processed-gene-3.2-mRNA-1	3694.POPTR_0004s24340.1	1.8e-303	998.3		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005802,GO:0005829,GO:0005911,GO:0009506,GO:0030054,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0055044	K12400		virNOG[6]	0XPKK@NOG,1BC9R@strNOG,1DQ7S@virNOG,KOG1062@euNOG	1DQ7S|1.1e-282|942.3	U	AP-4 complex subunit
augustus_masked-NW_019167827.1-processed-gene-3.0-mRNA-1	29760.VIT_02s0087g00170.t01	0.0	1039.4		GO:0000902,GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009653,GO:0009664,GO:0009826,GO:0009987,GO:0016020,GO:0016043,GO:0016049,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0032502,GO:0032989,GO:0040007,GO:0044237,GO:0044464,GO:0044699,GO:0044763,GO:0044767,GO:0045229,GO:0048589,GO:0048856,GO:0048869,GO:0060560,GO:0071554,GO:0071555,GO:0071669,GO:0071840,GO:0071944			virNOG[6]	0IIXE@euNOG,1BFNE@strNOG,1DTKD@virNOG,COG0515@NOG	1DTKD|0.0|1038.8	T	LRR receptor-like serine threonine-protein kinase FEI
augustus_masked-NW_019167827.1-processed-gene-3.4-mRNA-1	29760.VIT_02s0087g00740.t01	1.5e-125	410.2		GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0005975,GO:0005976,GO:0006464,GO:0006486,GO:0007275,GO:0008150,GO:0008152,GO:0008544,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009653,GO:0009664,GO:0009832,GO:0009888,GO:0009913,GO:0009987,GO:0010015,GO:0010053,GO:0010054,GO:0010383,GO:0010393,GO:0016043,GO:0016051,GO:0016740,GO:0016757,GO:0016763,GO:0019538,GO:0021700,GO:0022622,GO:0030154,GO:0030855,GO:0032501,GO:0032502,GO:0033692,GO:0034637,GO:0034645,GO:0036211,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043413,GO:0043588,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044707,GO:0044723,GO:0044763,GO:0044767,GO:0045229,GO:0045488,GO:0045489,GO:0048364,GO:0048468,GO:0048469,GO:0048513,GO:0048731,GO:0048764,GO:0048765,GO:0048856,GO:0048869,GO:0052325,GO:0052546,GO:0052636,GO:0060429,GO:0070085,GO:0070589,GO:0070592,GO:0071554,GO:0071555,GO:0071669,GO:0071704,GO:0071840,GO:0080147,GO:1901135,GO:1901137,GO:1901576			virNOG[6]	0IGI8@euNOG,0ZPDM@NOG,1BHNP@strNOG,1DVJ4@virNOG	1DVJ4|8.9e-123|411.6	S	Nucleotide-diphospho-sugar transferase
augustus_masked-NW_019167827.1-processed-gene-3.5-mRNA-1	3694.POPTR_0019s12320.1	1.3e-162	531.3	NCED4	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0010287,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	K09840		virNOG[6]	1BGYB@strNOG,1DUV1@virNOG,COG3670@NOG,KOG1285@euNOG	1DUV1|7.5e-159|531.1	Q	carotenoid cleavage dioxygenase 4
augustus_masked-NW_019167827.1-processed-gene-3.1-mRNA-1	3694.POPTR_0003s10420.1	1.6e-206	677.5		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009526,GO:0009536,GO:0009941,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464			virNOG[6]	0IKUS@euNOG,1BFIQ@strNOG,1DTGT@virNOG,COG0687@NOG	1DTGT|2e-222|740.5	E	Inherit from COG: polyamine binding
augustus_masked-NW_019167827.1-processed-gene-3.8-mRNA-1	3847.GLYMA09G35170.1	2.5e-111	362.3					virNOG[6]	0IZIM@euNOG,128MX@NOG,1BP6Y@strNOG,1E115@virNOG	1E115|3.3e-106|356.1	S	NA
augustus_masked-NW_019167827.1-processed-gene-3.9-mRNA-1	3847.GLYMA01G35750.1	5.4e-144	469.9					virNOG[6]	0IGS6@euNOG,11GM7@NOG,1BEM7@strNOG,1DSJ2@virNOG	1DSJ2|2.8e-132|441.9	S	F-Box protein
augustus_masked-NW_019167827.1-processed-gene-3.6-mRNA-1	3694.POPTR_0001s01100.1	1.4e-86	280.5		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K11247		virNOG[6]	0IKXZ@euNOG,0ZJVG@NOG,1BKEP@strNOG,1DYB2@virNOG	1DYB2|3.2e-95|320.4	T	Variant SH3 domain
augustus_masked-NW_019167827.1-processed-gene-3.7-mRNA-1	3694.POPTR_0001s01080.1	2.6e-56	180.9		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	0J3X1@euNOG,0ZBR7@NOG,1BPI3@strNOG,1E1CK@virNOG	1E1CK|8.3e-63|214.2	S	NA
augustus_masked-NW_019167827.1-processed-gene-4.11-mRNA-1	29760.VIT_02s0109g00230.t01	0.0	1437.2		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005911,GO:0009506,GO:0016020,GO:0030054,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0055044,GO:0071944			virNOG[6]	1BHFF@strNOG,1DVBJ@virNOG,COG5594@NOG,KOG1134@euNOG	1DVBJ|0.0|1522.3	S	Domain of unknown function DUF221
augustus_masked-NW_019167827.1-processed-gene-4.6-mRNA-1	3694.POPTR_0006s14130.1	0.0	1331.3					virNOG[6]	1BDSW@strNOG,1DRPY@virNOG,COG1874@NOG,KOG0496@euNOG	1DRPY|0.0|1353.3	G	beta-galactosidase
augustus_masked-NW_019167827.1-processed-gene-4.8-mRNA-1	3694.POPTR_0003s09980.1	0.0	1365.3		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	0IHYE@euNOG,12846@NOG,1BC17@strNOG,1DPZQ@virNOG	1DPZQ|0.0|1320.1	I	START domain containing protein, expressed
augustus_masked-NW_019167827.1-processed-gene-4.4-mRNA-1	3694.POPTR_0001s01380.1	0.0	1255.4		GO:0000139,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0012505,GO:0016020,GO:0031090,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464			virNOG[6]	0IKH9@euNOG,11CGI@NOG,1BD26@strNOG,1DQZK@virNOG	1DQZK|0.0|1201.8	S	methyltransferase
augustus_masked-NW_019167827.1-processed-gene-4.0-mRNA-1	29760.VIT_02s0087g00880.t01	3.8e-179	587.6		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0016020,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464			virNOG[6]	0IH5E@euNOG,10YP2@NOG,1BG2A@strNOG,1DTZY@virNOG	1DTZY|6.6e-189|628.5	S	auxin-induced protein
augustus_masked-NW_019167827.1-processed-gene-4.5-mRNA-1	3694.POPTR_0003s10090.1	1.8e-219	720.0			K08829		virNOG[6]	0XPBB@NOG,1BFCY@strNOG,1DTB4@virNOG,KOG0661@euNOG	1DTB4|4e-236|786.6	T	Cyclin-dependent kinase
augustus_masked-NW_019167827.1-processed-gene-4.10-mRNA-1	29760.VIT_02s0033g00260.t01	7.6e-181	590.9					virNOG[6]	0IMJ7@euNOG,11CCH@NOG,1BGU3@strNOG,1DUQN@virNOG	1DUQN|8.8e-182|604.5	S	Isoflavone reductase
