gene,padj,eggNOG_HMM_model_annotation,log2FoldChange,best_OG|evalue|score,pvalue
augustus_masked-NW_019167827.1-processed-gene-10.12-mRNA-1:1,0.0426877668776918,methyltransferase,-4.7410581419938,1DTZT|0.0|1050.8,0.00262227838627035
augustus_masked-NW_019167827.1-processed-gene-10.12-mRNA-1:7,0.0240014629416423,methyltransferase,-5.26264838682718,1DTZT|0.0|1050.8,0.000693140633165392
augustus_masked-NW_019167827.1-processed-gene-10.16-mRNA-1:5,0.015202812018209,purine permease,-7.1503037260703,1DSU3|1.5e-183|610.9,0.000236268756906802
augustus_masked-NW_019167827.1-processed-gene-10.4-mRNA-1:10,0.0418955386170492,ribose-phosphate pyrophosphokinase,-3.35214649113839,1DVSG|8.6e-213|707.6,0.00255310551043692
augustus_masked-NW_019167827.1-processed-gene-10.4-mRNA-1:3,0.00840014236096432,ribose-phosphate pyrophosphokinase,-7.74188156780578,1DVSG|8.6e-213|707.6,6.00296152969605e-05
augustus_masked-NW_019167827.1-processed-gene-10.4-mRNA-1:7,0.0229504003383916,ribose-phosphate pyrophosphokinase,-6.84161786141478,1DVSG|8.6e-213|707.6,0.00064362153166867
augustus_masked-NW_019167827.1-processed-gene-10.4-mRNA-1:8,0.0229504003383916,ribose-phosphate pyrophosphokinase,-6.82270024263603,1DVSG|8.6e-213|707.6,0.000645936377610139
augustus_masked-NW_019167827.1-processed-gene-105.1-mRNA-1:5,0.0487740923528052,auxin efflux carrier,-6.08620887495811,1DQRU|0.0|1050.6,0.00341535066441552
augustus_masked-NW_019167827.1-processed-gene-11.2-mRNA-1:2,0.0161199386993063,beta-amylase,-5.5034292420565,1DZBA|3.1e-228|761.3,0.000291942110560124
augustus_masked-NW_019167827.1-processed-gene-11.4-mRNA-1:10,0.0494685399573482,serine threonine-protein kinase,-6.08866847359833,1DXHV|3.5e-201|668.3,0.00362118223993726
augustus_masked-NW_019167827.1-processed-gene-11.4-mRNA-1:9,0.0497243599244051,serine threonine-protein kinase,-6.06527550171519,1DXHV|3.5e-201|668.3,0.00376035908385736
augustus_masked-NW_019167827.1-processed-gene-11.5-mRNA-1:4,0.0412431232737931,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,-3.92507616568906,1DYB6|3.1e-163|543.5,0.0024289429627196
augustus_masked-NW_019167827.1-processed-gene-11.7-mRNA-1:23,0.0408059790830749,Vacuolar protein sorting-associated protein 53,4.07367572252864,1DQW8|0.0|1252.6,0.00234689307012301
augustus_masked-NW_019167827.1-processed-gene-111.5-mRNA-1:2,0.0424601950081554,inactive receptor kinase,-6.2157969858348,1DVUH|0.0|1052.5,0.00259790718356311
augustus_masked-NW_019167827.1-processed-gene-113.2-mRNA-1:3,0.0430462111633896,chaperone protein,-2.836920140938,1E0TW|3.2e-50|172.5,0.00268013049935109
augustus_masked-NW_019167827.1-processed-gene-12.0-mRNA-1:1,0.0473677865934124,Cupin domain,-4.27112530620171,1DW51|1.4e-169|564.1,0.00318543231796867
